AgentID	Genome
Mouse_76	[ 0.06  0.51  0.42  0.53  0.8 ]
Mouse_77	[ 0.3   0.93  0.45  0.57  0.22]
Mouse_78	[ 0.44  0.19  0.74  0.2   0.17]
Mouse_79	[ 0.96  0.67  0.85  0.84  0.84]
Mouse_8	[ 0.74  0.51  0.72  0.24  0.91]
Mouse_80	[ 0.61  0.24  0.35  0.75  0.52]
Mouse_81	[ 0.6   0.98  0.33  0.25  0.18]
Mouse_82	[ 0.47  0.    0.    0.55  0.08]
Mouse_83	[ 0.69  0.66  0.55  0.73  0.57]
Mouse_84	[ 0.05  0.85  0.9   0.39  0.29]
Mouse_85	[ 0.15  0.91  0.41  0.69  0.8 ]
Mouse_86	[ 0.87  0.51  0.95  0.48  0.65]
Mouse_87	[ 0.87  0.55  0.42  0.21  0.98]
Mouse_88	[ 0.12  0.68  0.46  0.35  0.31]
Mouse_89	[ 0.68  0.46  0.2   0.28  0.66]
Mouse_9	[ 0.82  0.9   0.07  0.51  0.68]
Mouse_90	[ 0.68  0.8   1.    0.14  0.13]
Mouse_91	[ 0.97  0.46  0.43  0.73  0.12]
Mouse_92	[ 0.03  0.72  0.6   0.16  0.31]
Mouse_93	[ 0.69  0.56  0.31  0.08  0.72]
Mouse_94	[ 0.41  0.7   0.02  0.26  0.45]
Mouse_95	[ 0.32  0.6   0.4   0.61  0.9 ]
Mouse_96	[ 0.14  0.76  0.86  0.24  0.61]
Mouse_97	[ 0.58  0.02  0.23  0.19  0.14]
Mouse_98	[ 0.99  0.91  0.4   0.24  0.34]
Mouse_99	[ 0.73  0.5   0.39  0.36  0.33]
