AgentID	Genome
Mouse_3	[ 0.01  0.9   0.32  0.26  0.58]
Mouse_30	[ 0.18  0.95  0.6   0.15  0.01]
Mouse_31	[ 0.48  0.46  0.81  0.33  0.97]
Mouse_32	[ 0.53  0.27  0.98  0.71  0.29]
Mouse_33	[ 0.09  0.31  0.51  0.5   0.14]
Mouse_34	[ 0.17  0.38  0.04  0.4   0.19]
Mouse_35	[ 0.54  0.95  0.36  0.63  0.34]
Mouse_36	[ 0.42  0.16  0.97  0.85  0.32]
Mouse_37	[ 0.93  0.4   0.6   0.38  0.47]
Mouse_38	[ 0.36  0.74  0.43  0.01  0.55]
Mouse_39	[ 0.07  0.23  0.68  0.4   0.81]
Mouse_4	[ 0.5   0.81  0.69  0.26  0.3 ]
Mouse_40	[ 0.65  0.07  0.48  0.09  0.04]
Mouse_41	[ 0.93  0.45  0.85  0.79  0.45]
Mouse_42	[ 0.53  0.48  0.82  0.91  0.44]
Mouse_43	[ 0.42  0.91  0.39  0.33  0.1 ]
Mouse_44	[ 0.6   0.81  0.96  0.91  0.97]
Mouse_45	[ 0.98  0.83  0.73  0.1   0.45]
Mouse_46	[ 0.43  0.7   0.6   0.85  0.02]
Mouse_47	[ 0.7   0.51  0.1   0.43  0.8 ]
Mouse_48	[ 0.92  0.91  0.68  0.33  0.5 ]
Mouse_49	[ 0.13  0.24  0.94  0.21  0.41]
Mouse_5	[ 0.05  0.29  0.17  0.43  0.68]
Mouse_50	[ 0.14  0.9   0.46  0.42  0.21]
Mouse_51	[ 0.6   0.81  0.18  0.54  0.13]
Mouse_52	[ 0.42  0.03  0.07  0.23  0.97]
Mouse_53	[ 0.24  0.58  0.14  0.63  0.36]
Mouse_54	[ 0.25  0.51  0.93  0.93  0.41]
Mouse_55	[ 0.15  0.46  0.43  0.75  0.53]
Mouse_56	[ 0.92  0.14  0.1   0.55  0.42]
Mouse_57	[ 0.32  0.07  0.73  0.21  0.51]
Mouse_58	[ 0.94  0.81  0.08  0.38  0.87]
Mouse_59	[ 0.58  0.65  0.01  0.13  0.61]
Mouse_6	[ 0.93  0.44  0.27  1.    0.84]
Mouse_60	[ 0.37  0.95  0.03  0.29  0.71]
Mouse_61	[ 0.43  0.83  0.82  0.86  0.99]
Mouse_62	[ 0.9   0.47  0.99  0.18  0.62]
Mouse_63	[ 0.7   0.    0.61  0.52  0.16]
Mouse_64	[ 0.13  0.72  0.82  0.58  0.33]
Mouse_65	[ 0.66  0.14  0.29  0.    0.88]
Mouse_66	[ 0.85  0.43  0.5   0.25  0.49]
Mouse_67	[ 0.87  0.2   0.18  0.19  0.3 ]
Mouse_68	[ 0.26  0.61  0.97  0.52  0.07]
Mouse_69	[ 0.93  0.57  0.6   0.06  0.54]
Mouse_7	[ 0.24  0.53  0.56  0.31  0.84]
Mouse_70	[ 0.36  0.49  0.88  0.75  0.54]
Mouse_71	[ 0.39  0.03  0.45  0.39  0.14]
Mouse_72	[ 0.85  0.01  0.54  0.79  0.32]
Mouse_73	[ 0.08  0.46  0.53  0.82  0.77]
Mouse_74	[ 0.77  0.12  0.49  0.04  0.46]
Mouse_75	[ 0.09  0.18  0.03  0.59  0.5 ]
Mouse_76	[ 0.46  0.13  0.18  0.34  0.17]
Mouse_77	[ 0.92  0.77  0.11  0.58  0.86]
Mouse_78	[ 0.62  0.85  0.73  0.66  0.65]
Mouse_79	[ 0.39  0.71  0.37  0.85  0.74]
Mouse_8	[ 0.48  0.65  0.42  0.45  0.74]
Mouse_80	[ 0.53  0.69  0.48  0.86  0.97]
Mouse_81	[ 0.48  0.2   0.68  0.94  0.55]
Mouse_82	[ 0.37  0.21  0.11  0.2   0.54]
Mouse_83	[ 0.42  0.04  0.97  0.59  0.1 ]
Mouse_84	[ 0.32  0.39  0.67  0.35  0.9 ]
Mouse_85	[ 0.82  0.08  0.4   0.57  0.21]
Mouse_86	[ 0.91  0.9   0.66  0.09  0.37]
Mouse_87	[ 0.38  0.83  0.37  0.63  0.5 ]
Mouse_88	[ 0.82  0.98  0.49  0.66  0.51]
Mouse_89	[ 0.91  0.78  0.92  0.45  0.96]
Mouse_9	[ 0.05  0.46  0.68  0.86  0.73]
Mouse_90	[ 0.06  0.55  0.25  0.36  0.19]
Mouse_91	[ 0.4   0.51  0.39  0.99  0.96]
Mouse_92	[ 0.73  0.41  0.03  0.98  0.31]
Mouse_93	[ 0.59  0.44  0.87  0.44  0.4 ]
Mouse_94	[ 0.23  0.97  0.11  1.    0.27]
Mouse_95	[ 0.44  0.14  0.76  0.99  0.6 ]
Mouse_96	[ 0.63  0.4   0.62  0.15  0.91]
Mouse_97	[ 0.57  0.53  0.76  0.59  0.96]
Mouse_98	[ 0.29  0.37  0.49  0.27  0.06]
Mouse_99	[ 0.48  0.22  0.59  0.52  0.19]
