AgentID	Genome
Mouse_375	[ 0.49  0.05  0.83  0.25  0.87]
Mouse_38	[ 0.57  0.14  0.45  0.33  1.  ]
Mouse_387	[ 0.53  0.    0.21  0.94  0.71]
Mouse_388	[ 0.39  0.05  0.83  0.35  0.97]
Mouse_389	[ 0.89  0.05  0.22  0.72  0.09]
Mouse_39	[ 0.63  0.97  0.65  0.6   0.86]
Mouse_392	[ 0.38  0.09  0.35  0.04  0.71]
Mouse_396	[ 0.49  0.05  0.73  0.25  0.97]
Mouse_397	[ 0.22  0.17  0.    0.04  0.06]
Mouse_4	[ 0.63  0.56  0.15  0.89  0.12]
Mouse_40	[ 0.86  0.82  0.94  0.65  0.32]
Mouse_404	[ 0.21  0.3   0.04  0.95  0.28]
Mouse_405	[ 0.86  0.41  0.27  0.25  0.62]
Mouse_406	[ 0.79  0.42  0.89  0.13  0.22]
Mouse_408	[ 0.49  0.05  0.83  0.35  0.97]
Mouse_41	[ 0.54  0.83  0.78  0.71  0.23]
Mouse_414	[ 0.38  0.09  0.35  0.04  0.81]
Mouse_415	[ 0.49  0.05  0.73  0.35  0.97]
Mouse_419	[ 0.49  0.05  0.83  0.35  0.97]
Mouse_42	[ 0.22  0.69  0.83  0.65  0.38]
Mouse_423	[ 0.38  0.19  0.25  0.14  0.81]
Mouse_426	[ 0.89  0.05  0.22  0.72  0.09]
Mouse_428	[ 0.49  0.05  0.73  0.45  0.97]
Mouse_43	[ 0.65  0.25  0.33  0.55  0.97]
Mouse_430	[ 0.49  0.05  0.83  0.35  0.87]
Mouse_44	[ 0.13  0.72  0.34  0.37  0.25]
Mouse_440	[ 0.49  0.05  0.73  0.45  0.97]
Mouse_441	[ 0.49  0.05  0.83  0.35  0.87]
Mouse_443	[ 0.49  0.05  0.83  0.35  1.  ]
Mouse_444	[ 0.59  0.05  0.83  0.25  0.87]
Mouse_447	[ 0.49  0.05  0.83  0.35  0.97]
Mouse_449	[ 0.49  0.05  0.83  0.35  0.87]
Mouse_45	[ 0.04  0.91  0.58  0.96  0.  ]
Mouse_450	[ 0.59  0.15  0.83  0.45  0.87]
Mouse_453	[ 0.59  0.    0.83  0.55  0.97]
Mouse_454	[ 0.59  0.15  0.83  0.35  0.77]
Mouse_457	[ 0.49  0.05  0.83  0.45  0.87]
Mouse_458	[ 0.49  0.05  0.83  0.45  0.97]
Mouse_459	[ 0.59  0.15  0.83  0.35  0.87]
Mouse_46	[ 0.01  0.66  0.82  0.57  0.19]
Mouse_47	[ 0.48  0.16  0.68  0.3   0.75]
Mouse_48	[ 0.38  0.09  0.35  0.04  0.71]
Mouse_49	[ 0.45  0.34  0.48  0.8   0.04]
Mouse_5	[ 0.4   0.27  0.9   0.44  0.96]
Mouse_50	[ 0.08  0.42  0.86  0.87  0.19]
Mouse_51	[ 0.76  0.72  0.47  0.27  0.49]
Mouse_52	[ 0.14  0.16  0.61  0.86  0.81]
Mouse_53	[ 0.2   0.36  0.82  0.54  0.99]
Mouse_54	[ 0.69  0.74  0.8   0.16  0.52]
Mouse_55	[ 0.53  0.63  0.25  0.08  0.76]
Mouse_56	[ 0.96  0.21  0.83  1.    0.08]
Mouse_57	[ 0.4   0.06  0.65  0.92  0.25]
Mouse_58	[ 0.17  0.9   0.94  0.46  0.05]
Mouse_59	[ 0.24  0.98  0.63  0.94  0.33]
Mouse_6	[ 1.    0.67  0.23  0.34  0.13]
Mouse_60	[ 0.25  0.21  0.38  0.2   0.72]
Mouse_61	[ 0.94  0.69  0.37  0.96  0.96]
Mouse_62	[ 0.19  0.4   0.83  0.68  0.45]
Mouse_63	[ 0.64  0.7   0.76  0.18  0.2 ]
Mouse_64	[ 0.29  0.69  0.05  0.74  0.38]
Mouse_65	[ 0.43  0.51  0.96  0.18  0.35]
Mouse_66	[ 0.25  0.08  0.69  0.83  0.22]
Mouse_67	[ 0.09  0.44  0.61  0.29  0.3 ]
Mouse_68	[ 0.94  0.8   0.76  0.68  0.87]
Mouse_69	[ 0.93  0.11  0.15  0.33  0.57]
Mouse_7	[ 0.43  1.    0.95  0.27  0.12]
Mouse_70	[ 0.35  0.47  0.58  0.02  0.05]
Mouse_71	[ 0.91  0.43  0.42  0.19  0.86]
Mouse_72	[ 0.27  0.61  0.76  0.94  0.87]
Mouse_73	[ 0.32  0.42  0.48  0.85  0.67]
Mouse_74	[ 0.63  0.2   0.32  0.35  0.59]
Mouse_75	[ 0.35  0.11  0.43  0.7   0.45]
Mouse_76	[ 0.47  0.68  0.42  0.82  0.71]
Mouse_77	[ 1.    0.72  0.55  0.27  0.54]
Mouse_78	[ 0.92  0.91  0.37  0.41  0.7 ]
Mouse_79	[ 0.52  0.76  0.69  0.36  0.45]
Mouse_8	[ 0.58  0.68  0.75  0.6   0.35]
Mouse_80	[ 0.15  0.13  0.69  0.51  0.77]
Mouse_81	[ 0.39  0.12  0.71  0.45  0.77]
Mouse_82	[ 0.86  0.8   0.04  0.21  0.6 ]
Mouse_83	[ 0.79  0.06  0.12  0.64  0.53]
Mouse_84	[ 0.43  0.67  0.29  0.3   0.82]
Mouse_85	[ 0.41  0.47  0.12  0.24  0.25]
Mouse_86	[ 0.99  0.03  0.85  0.39  0.12]
Mouse_87	[ 0.89  0.45  0.54  0.25  0.98]
Mouse_88	[ 0.66  0.98  0.4   0.44  0.86]
Mouse_89	[ 0.35  0.71  0.8   0.54  0.67]
Mouse_9	[ 0.93  0.23  0.75  0.83  0.08]
Mouse_90	[ 0.37  0.27  0.36  0.18  0.19]
Mouse_91	[ 0.45  0.21  0.35  0.67  0.17]
Mouse_92	[ 0.76  0.82  0.21  0.84  0.27]
Mouse_93	[ 0.24  0.61  0.7   0.05  0.  ]
Mouse_94	[ 0.68  0.12  0.86  0.25  0.6 ]
Mouse_95	[ 0.35  0.39  0.19  0.46  0.59]
Mouse_96	[ 0.28  0.49  0.07  0.04  0.17]
Mouse_97	[ 0.11  0.87  0.69  0.77  0.73]
Mouse_98	[ 0.86  0.31  0.27  0.25  0.62]
Mouse_99	[ 0.33  0.27  0.35  0.02  0.44]
