AgentID	Genome
Mouse_31	[ 0.02  0.28  0.46  0.05  0.11]
Mouse_32	[ 0.62  0.01  0.68  1.    0.68]
Mouse_33	[ 0.21  0.87  0.44  0.23  0.28]
Mouse_34	[ 0.92  0.58  0.96  0.9   0.01]
Mouse_35	[ 0.5   0.25  0.21  0.68  0.  ]
Mouse_36	[ 0.03  0.75  0.43  0.26  0.27]
Mouse_37	[ 0.08  0.64  0.25  0.71  0.12]
Mouse_38	[ 0.7   0.32  0.26  0.27  0.34]
Mouse_39	[ 0.59  0.6   0.15  0.2   0.27]
Mouse_4	[ 0.63  0.88  0.77  0.5   0.11]
Mouse_40	[ 0.78  0.43  0.89  0.9   0.15]
Mouse_41	[ 0.81  0.5   0.33  0.04  1.  ]
Mouse_42	[ 0.57  0.78  0.68  0.6   0.18]
Mouse_43	[ 0.38  0.26  0.98  0.52  0.78]
Mouse_44	[ 0.35  0.98  0.86  0.65  0.52]
Mouse_45	[ 0.58  0.04  0.54  0.16  0.02]
Mouse_46	[ 0.3   0.39  0.81  0.45  0.97]
Mouse_47	[ 0.32  0.03  0.99  0.69  0.31]
Mouse_48	[ 0.69  0.73  0.79  0.98  0.22]
Mouse_49	[ 0.84  0.56  0.07  0.27  0.21]
Mouse_5	[ 0.27  0.21  0.86  0.37  0.16]
Mouse_50	[ 0.68  0.12  0.3   0.97  0.49]
Mouse_51	[ 0.58  0.94  0.48  0.44  0.85]
Mouse_52	[ 0.05  0.18  0.17  0.01  0.17]
Mouse_53	[ 0.84  0.58  0.86  0.34  0.76]
Mouse_54	[ 0.88  0.52  0.87  0.49  0.57]
Mouse_55	[ 0.4   0.94  0.12  0.76  0.45]
Mouse_56	[ 0.93  0.45  0.87  0.87  0.29]
Mouse_57	[ 0.36  0.22  0.    0.46  0.17]
Mouse_58	[ 0.23  0.18  0.82  0.29  0.17]
Mouse_59	[ 0.42  0.63  0.77  0.69  0.44]
Mouse_6	[ 0.18  0.23  0.49  0.41  0.27]
Mouse_60	[ 0.27  0.26  0.65  0.08  0.28]
Mouse_61	[ 0.19  0.43  0.08  0.07  0.36]
Mouse_62	[ 0.29  0.48  0.39  0.21  0.47]
Mouse_63	[ 0.72  0.55  0.5   0.27  0.14]
Mouse_64	[ 0.23  0.2   0.56  0.91  0.06]
Mouse_65	[ 0.61  0.38  0.91  0.74  0.68]
Mouse_66	[ 0.52  0.27  0.5   0.83  0.97]
Mouse_67	[ 0.59  0.84  0.58  0.41  0.41]
Mouse_68	[ 0.24  0.05  0.13  0.77  0.3 ]
Mouse_69	[ 0.78  0.05  0.52  0.05  0.83]
Mouse_7	[ 0.29  0.11  0.65  0.71  0.94]
Mouse_70	[ 0.55  0.98  0.19  0.88  0.43]
Mouse_71	[ 0.28  0.73  0.97  0.27  0.52]
Mouse_72	[ 0.78  0.8   0.4   0.39  0.65]
Mouse_73	[ 0.36  0.31  0.46  0.72  0.32]
Mouse_74	[ 0.28  0.4   0.48  0.09  0.62]
Mouse_75	[ 0.99  0.12  0.65  0.86  0.47]
Mouse_76	[ 0.12  0.72  0.46  0.5   0.43]
Mouse_77	[ 0.56  0.39  0.3   0.71  0.92]
Mouse_78	[ 0.83  0.07  0.36  0.92  0.41]
Mouse_79	[ 0.74  0.37  0.88  1.    0.38]
Mouse_8	[ 0.7   0.55  0.65  0.08  0.57]
Mouse_80	[ 0.32  0.48  0.3   0.78  0.07]
Mouse_81	[ 0.03  0.76  0.07  0.22  0.87]
Mouse_82	[ 0.3   0.92  0.88  0.29  0.22]
Mouse_83	[ 0.23  0.71  0.26  0.63  0.46]
Mouse_84	[ 0.95  0.39  0.78  0.73  0.69]
Mouse_85	[ 0.98  0.99  0.83  0.03  0.07]
Mouse_86	[ 0.48  0.33  0.99  0.71  0.62]
Mouse_87	[ 0.04  0.09  0.5   0.64  0.97]
Mouse_88	[ 0.77  0.3   0.35  0.03  0.42]
Mouse_89	[ 0.09  0.25  0.15  0.12  0.63]
Mouse_9	[ 0.96  0.15  0.52  0.22  0.52]
Mouse_90	[ 0.59  0.28  0.22  0.24  0.82]
Mouse_91	[ 0.42  0.92  0.05  0.24  0.44]
Mouse_92	[ 0.09  0.93  0.39  0.82  0.73]
Mouse_93	[ 0.13  0.9   0.26  0.22  0.47]
Mouse_94	[ 0.59  0.91  0.23  0.86  0.09]
Mouse_95	[ 0.48  0.71  0.97  0.62  0.55]
Mouse_96	[ 0.95  0.87  0.18  0.01  0.85]
Mouse_97	[ 0.64  0.06  0.55  0.28  0.19]
Mouse_98	[ 0.54  0.89  0.33  0.    0.2 ]
Mouse_99	[ 0.83  0.66  0.54  0.76  0.01]
