AgentID	Genome
Mouse_41	[ 0.56  0.02  0.67  0.9   0.53]
Mouse_42	[ 0.62  0.65  0.41  0.85  0.51]
Mouse_43	[ 0.    0.48  0.7   0.79  0.96]
Mouse_44	[ 0.13  0.62  0.84  0.51  0.43]
Mouse_45	[ 0.37  0.5   0.48  0.03  0.63]
Mouse_46	[ 0.06  0.31  0.82  0.49  0.28]
Mouse_47	[ 0.21  0.33  0.87  0.87  0.29]
Mouse_48	[ 0.52  0.1   0.17  0.82  0.86]
Mouse_49	[ 0.55  0.39  0.33  0.95  0.15]
Mouse_5	[ 0.69  0.02  0.35  0.78  0.14]
Mouse_50	[ 0.99  0.37  0.39  0.22  0.48]
Mouse_51	[ 0.13  0.32  0.56  0.03  0.72]
Mouse_52	[ 0.92  0.48  0.25  0.88  0.96]
Mouse_53	[ 0.77  0.95  0.84  0.9   0.59]
Mouse_54	[ 0.15  0.79  0.77  0.99  0.53]
Mouse_55	[ 0.44  0.86  0.35  0.58  0.54]
Mouse_56	[ 0.52  0.87  0.52  0.25  0.53]
Mouse_57	[ 0.38  0.09  0.76  0.07  0.7 ]
Mouse_58	[ 0.64  0.67  0.16  0.74  0.04]
Mouse_59	[ 0.14  0.33  0.06  0.21  0.15]
Mouse_6	[ 0.29  0.43  0.67  0.04  0.35]
Mouse_60	[ 0.63  0.36  0.33  0.22  0.72]
Mouse_61	[ 0.1   0.97  0.55  0.28  0.64]
Mouse_62	[ 0.11  0.61  0.73  0.78  0.41]
Mouse_63	[ 0.48  0.7   0.53  0.33  0.87]
Mouse_64	[ 0.76  0.07  0.65  0.14  0.88]
Mouse_65	[ 0.43  0.91  0.13  0.75  0.6 ]
Mouse_66	[ 0.35  0.19  0.63  0.54  0.76]
Mouse_67	[ 0.81  0.87  0.67  0.17  0.63]
Mouse_68	[ 0.51  0.55  0.43  0.68  0.8 ]
Mouse_69	[ 0.35  0.15  0.13  0.98  0.16]
Mouse_7	[ 0.17  0.23  0.23  0.56  0.64]
Mouse_70	[ 0.72  0.09  0.62  0.37  0.11]
Mouse_71	[ 0.37  0.44  0.24  0.52  0.9 ]
Mouse_72	[ 0.66  0.32  0.51  0.17  0.91]
Mouse_73	[ 0.56  0.78  0.54  0.13  0.36]
Mouse_74	[ 0.5   0.58  0.29  0.89  0.05]
Mouse_75	[ 0.24  0.41  0.05  0.42  0.87]
Mouse_76	[ 0.74  0.64  0.69  0.86  0.7 ]
Mouse_77	[ 0.46  0.18  0.86  0.53  0.51]
Mouse_78	[ 0.03  0.9   0.66  0.33  0.26]
Mouse_79	[ 0.69  0.34  0.39  0.81  0.3 ]
Mouse_8	[ 0.2   0.35  0.94  0.45  0.63]
Mouse_80	[ 0.01  0.12  0.51  0.36  0.23]
Mouse_81	[ 0.16  0.53  0.43  0.1   0.88]
Mouse_82	[ 0.2   0.21  0.45  0.89  0.07]
Mouse_83	[ 0.68  0.51  0.44  0.34  0.37]
Mouse_84	[ 0.03  0.18  0.89  0.34  0.42]
Mouse_85	[ 0.26  0.3   0.15  0.37  0.12]
Mouse_86	[ 0.1   0.03  0.45  0.13  0.31]
Mouse_87	[ 0.85  0.55  0.6   0.23  0.42]
Mouse_88	[ 0.45  0.24  0.56  0.44  0.28]
Mouse_89	[ 0.28  0.21  0.98  0.39  0.66]
Mouse_9	[ 0.01  0.68  0.51  0.84  0.5 ]
Mouse_90	[ 0.04  0.    0.05  0.62  0.26]
Mouse_91	[ 0.04  0.7   0.65  0.53  0.82]
Mouse_92	[ 0.37  0.5   0.29  0.3   0.08]
Mouse_93	[ 0.66  0.52  0.98  0.23  0.47]
Mouse_94	[ 0.25  0.89  0.94  0.93  0.18]
Mouse_95	[ 0.19  0.72  0.4   0.03  0.89]
Mouse_96	[ 0.44  0.6   0.54  0.81  0.51]
Mouse_97	[ 0.5   0.69  0.04  0.2   0.58]
Mouse_98	[ 0.32  0.53  0.77  0.72  0.91]
Mouse_99	[ 0.13  0.52  0.16  0.81  0.02]
