AgentID	Genome
Mouse_67	[ 0.38  0.01  0.67  0.19  0.37]
Mouse_68	[ 0.66  0.11  0.73  0.63  0.16]
Mouse_69	[ 0.47  0.91  0.1   0.88  0.27]
Mouse_7	[ 0.89  0.69  0.09  0.28  0.13]
Mouse_70	[ 0.8   0.51  0.81  0.61  0.47]
Mouse_71	[ 0.24  0.72  0.18  0.78  0.6 ]
Mouse_72	[ 0.05  0.91  0.56  0.61  0.99]
Mouse_73	[ 0.51  0.95  0.26  0.32  0.49]
Mouse_74	[ 0.72  0.18  0.74  0.77  0.73]
Mouse_75	[ 0.9   0.36  0.49  0.18  0.48]
Mouse_76	[ 0.42  0.08  0.92  0.3   0.93]
Mouse_77	[ 0.83  0.28  0.43  0.23  0.72]
Mouse_78	[ 0.14  0.83  0.58  0.42  0.01]
Mouse_79	[ 0.15  0.97  0.06  0.45  0.64]
Mouse_8	[ 0.02  0.81  0.24  0.23  0.53]
Mouse_80	[ 0.02  0.3   0.07  0.76  0.42]
Mouse_81	[ 0.8   0.78  0.57  0.93  0.27]
Mouse_82	[ 0.89  0.66  0.89  0.57  0.85]
Mouse_83	[ 0.04  0.36  0.97  0.73  0.61]
Mouse_84	[ 0.36  0.28  0.95  0.56  0.03]
Mouse_85	[ 0.51  0.73  0.82  0.97  0.75]
Mouse_86	[ 0.41  0.2   0.43  0.61  0.22]
Mouse_87	[ 0.61  0.83  0.81  0.73  0.77]
Mouse_88	[ 0.64  0.69  0.99  0.67  0.07]
Mouse_89	[ 0.09  0.08  0.12  0.36  0.84]
Mouse_9	[ 0.38  0.72  0.86  0.76  0.96]
Mouse_90	[ 0.62  0.64  0.69  0.63  0.93]
Mouse_91	[ 0.07  0.36  0.91  0.37  0.81]
Mouse_92	[ 0.73  0.54  0.3   0.96  0.58]
Mouse_93	[ 0.07  0.29  0.62  0.12  0.11]
Mouse_94	[ 0.95  0.61  0.87  0.32  0.08]
Mouse_95	[ 0.08  0.61  0.11  0.24  0.93]
Mouse_96	[ 0.61  0.81  0.93  0.07  0.62]
Mouse_97	[ 0.    0.65  0.01  0.88  0.64]
Mouse_98	[ 0.29  0.12  0.74  0.94  0.64]
Mouse_99	[ 0.78  0.4   0.63  0.25  0.89]
